"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"517186","Nick Sherry","UNLV","Mountain West","passing","TD","16"
"385721","Desmond Johnson","Southern Mississippi","Conference USA","rushing","TD","3"
"487837","Jackson Rice","Oregon","Pac-12","punting","NO","51"
"481443","Fitzgerald Toussaint","Michigan","Big Ten","receiving","YPR","10.3"
"480824","Mitch Ewald","Indiana","Big Ten","kicking","FGA","20"
"504322","Rajion Neal","Tennessee","SEC","rushing","CAR","156"
"502341","Tony Miliano","Cincinnati","Big East","kicking","XPA","53"
"382178","Timothy Wright","Rutgers","Big East","passing","COMPLETIONS","0"
"380712","Johnathan Franklin","UCLA","Pac-12","receiving","YPR","9.8"
"501173","Bryan Underwood","NC State","ACC","receiving","REC","44"
"517612","Jarrett Grace","Notre Dame","FBS Independents","kickReturns","AVG","12.0"
"503760","Devon Hughes","Buffalo","Mid-American","rushing","TD","0"
"476232","Ryan Schlothauer","Maryland","ACC","kickReturns","YDS","3"
"378384","Kelly Page","Ball State","Mid-American","passing","YDS","178"
"378147","Ryan Katz","San Diego State","Mountain West","punting","YDS","29"
"387579","Andrew Shapiro","Fresno State","Mountain West","rushing","YPC","23.0"
"500923","Thomas Rees","Notre Dame","FBS Independents","passing","YPA","7.4"
"530704","Andre Sims Jr.","Michigan State","Big Ten","puntReturns","YDS","92"
"514580","Kyler Fackrell","Utah State","Western Athletic","interceptions","TD","0"
"480253","David Oku","Arkansas State","Sun Belt","rushing","TD","16"
"511448","Ifo Ekpre-Olomu","Oregon","Pac-12","interceptions","TD","1"
"512075","Silverberry Mouhon","Cincinnati","Big East","receiving","YDS","16"
"480265","Morgan Newton","Kentucky","SEC","passing","TD","1"
"516974","Solomon Dixon","Idaho","Western Athletic","interceptions","AVG","5.7"
"480766","Xavier Rhodes","Florida State","ACC","interceptions","TD","0"
"500833","Kevonte Martin-Manley","Iowa","Big Ten","rushing","YDS","15"
"512838","Braxton Miller","Ohio State","Big Ten","passing","INT","6"
"504780","Connor Hamlett","Oregon State","Pac-12","receiving","TD","3"
"500863","Jonathan Krause","Vanderbilt","SEC","receiving","YPR","7.7"
"535765","Ken Crawley","Colorado","Pac-12","puntReturns","AVG","6.8"
"482270","Fred Lee","Buffalo","Mid-American","receiving","REC","17"
"480798","Bradley McDougald","Kansas","Big 12","puntReturns","YDS","39"
"504747","Ben Butterfield","Oregon","Pac-12","receiving","TD","0"
"482210","Robert Clay","New Mexico State","Western Athletic","receiving","YDS","38"
"518139","Dustin Garrison","West Virginia","Big 12","rushing","YPC","4.5"
"536005","Brian Vaughn","UT San Antonio","Western Athletic","rushing","CAR","8"
"538156","Fredi Knighten","Arkansas State","Sun Belt","rushing","YDS","96"
"480210","Aaron Murray","Georgia","SEC","rushing","CAR","59"
"482674","Jeremy Shelley","Alabama","SEC","kicking","XPM","69"
"512690","Montrel Carter","Louisiana","Sun Belt","rushing","LONG","9"
"513614","Joe Licata","Buffalo","Mid-American","passing","PCT","0.528"
"532661","Daniel Braverman","Western Michigan","Mid-American","kickReturns","TD","0"
"483439","Zac Stacy","Vanderbilt","SEC","puntReturns","NO","1"
"517445","Darrian Miller","Kentucky","SEC","rushing","TD","0"
"502307","Taylor Mack","Connecticut","Big East","kickReturns","TD","0"
"530869","Pharaoh Brown","Oregon","Pac-12","receiving","YPR","21.0"
"382742","Sylvester Hemphill","Mississippi State","SEC","receiving","YPR","6.7"
"506068","Daniel Dyer","Virginia Tech","ACC","rushing","TD","0"
"531451","Saylor Lavallii","Central Michigan","Mid-American","rushing","CAR","57"
"534765","Carlos Mendoza","Arizona State","Pac-12","interceptions","INT","2"
"514157","Conner Floyd","Tulsa","Conference USA","puntReturns","NO","4"
"481158","Colin Lockett","San Diego State","Mountain West","rushing","LONG","16"
"505663","Jake Medlock","Florida International","Sun Belt","receiving","TD","0"
"481228","T.O. Owens","Toledo","Mid-American","passing","INT","8"
"503343","Zach Zwinak","Penn State","Big Ten","receiving","REC","20"
"504635","Dwight Macon","Toledo","Mid-American","puntReturns","TD","0"
"481701","Kyler Elsworth","Michigan State","Big Ten","kickReturns","LONG","17"
"500514","Kalen Henderson","Tulsa","Conference USA","passing","TD","1"
"506998","Anthony LaCoste","Air Force","Mountain West","rushing","YDS","15"
"531592","Marcus Henry","Middle Tennessee","Sun Belt","receiving","LONG","75"
"384496","Sidney Saulter","Kent State","Mid-American","interceptions","AVG","0.0"
"384918","Melvin White","Louisiana","Sun Belt","receiving","LONG","25"
"535970","Marcus Hendricks","Air Force","Mountain West","receiving","TD","2"
"516336","Norkeithus Otis","North Carolina","ACC","kickReturns","TD","0"
"503861","Barry Brunetti","Ole Miss","SEC","rushing","LONG","29"
"501033","Matt Joeckel","Texas A&M","SEC","rushing","LONG","1"
"534249","Stefon Diggs","Maryland","ACC","receiving","YPR","15.7"
"382736","Arceto Clark","Mississippi State","SEC","receiving","REC","36"
"480655","Scott Fernandez","Colorado","Pac-12","kickReturns","NO","1"
"500929","Daniel Smith","Notre Dame","FBS Independents","receiving","YDS","47"
"481645","Michael Campanaro","Wake Forest","ACC","puntReturns","TD","0"
"480692","Deon Broomfield","Iowa State","Big 12","interceptions","INT","2"
"480688","Jeremy Reeves","Iowa State","Big 12","interceptions","TD","1"
"534271","Sam Benjamin","Temple","Big East","receiving","REC","2"
"533206","Marquis Bundy","New Mexico","Mountain West","rushing","LONG","6"
"511471","Michael Balfour","Oregon State","Pac-12","rushing","LONG","4"
"481645","Michael Campanaro","Wake Forest","ACC","receiving","LONG","41"
"503430","Taylor Cook","Rice","Conference USA","punting","YDS","1419"
"484100","Robbie Rouse","Fresno State","Mountain West","receiving","TD","2"
"502791","Blake Jablonski","Kansas","Big 12","passing","PCT","1.000"
"514833","Derrick Harris","East Carolina","Conference USA","receiving","TD","0"
"518343","Miles Shuler","Rutgers","Big East","kickReturns","TD","0"
"504635","Dwight Macon","Toledo","Mid-American","puntReturns","AVG","-1.0"
"514158","Keyarris Garrett","Tulsa","Conference USA","receiving","YPR","12.6"
"512039","Darius Slay","Mississippi State","SEC","interceptions","TD","1"
"503432","Jeremy Eddington","Rice","Conference USA","rushing","YDS","201"
"513362","Eric Boyden","Western Michigan","Mid-American","receiving","YPR","3.0"
"517574","Matt Goudis","Miami","ACC","punting","LONG","37"
"512167","Amarlo Herrera","Georgia","SEC","interceptions","AVG","35.0"
"512787","Travaughn Colwell","New Mexico State","Western Athletic","rushing","YPC","4.5"
"487879","Martin Hyppolite","Connecticut","Big East","rushing","LONG","50"
"513592","Brian Schmiedebusch","Bowling Green","Mid-American","rushing","YPC","8.0"
"482048","Zurlon Tipton","Central Michigan","Mid-American","receiving","LONG","37"
"534240","Shaun Wick","Wyoming","Mountain West","receiving","TD","0"
"481477","Anthony Talbert","NC State","ACC","receiving","TD","0"
"531165","James Baker","Idaho","Western Athletic","receiving","YPR","9.5"
"532641","Jaime Wilson","Western Michigan","Mid-American","passing","INT","0"
