"CollegeAthleteId","NflAthleteId","CollegeId","CollegeTeam","CollegeConference","NflTeam","Year","Overall","Round","Pick","Name","Position","Height","Weight","PreDraftRanking","PreDraftPositionRanking","PreDraftGrade","HometownInfo City","HometownInfo State","HometownInfo Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo CountyFips"
"4426349","105673","61","Georgia","SEC","Jacksonville","2022","1","1","1","Travon Walker","Defensive End","77","272","2","2","93","Thomaston","GA","USA","32.8881879","-84.3265855","13293"
"4372099","105537","130","Michigan","Big Ten","Detroit","2022","2","1","2","Aidan Hutchinson","Defensive End","79","260","1","1","94","Plymouth","MI","USA","45.0065149","-93.46651","27053"
"4426434","105534","99","LSU","SEC","Houston","2022","3","1","3","Derek Stingley Jr.","Cornerback","72","190","8","2","92","Baton Rouge","LA","USA","30.4459596","-91.18738","22033"
"4427250","105558","2132","Cincinnati","American Athletic","New York","2022","4","1","4","Ahmad Gardner","Cornerback","75","190","5","1","93","Detroit","MI","USA","42.3315509","-83.0466403","26163"
"4426326","105533","2483","Oregon","Pac-12","New York","2022","5","1","5","Kayvon Thibodeaux","Defensive End","76","254","7","3","93","Los Angeles","CA","USA","34.0536909","-118.2427666","06037"
"4427132","105589","152","NC State","ACC","Carolina","2022","6","1","6","Ikem Ekwonu","Offensive Tackle","76","310","3","1","93","Charlotte","NC","USA","35.2272","-80.843083","37119"
"4567134","105535","333","Alabama","SEC","New York","2022","7","1","7","Evan Neal","Offensive Tackle","80","337","4","2","93","Okeechobee","FL","USA","27.2436957","-80.8287487","12093"
"4426502","105554","30","USC","Pac-12","Atlanta","2022","8","1","8","Drake London","Wide Receiver","76","219","11","2","92","Moorpark","CA","USA","34.285558","-118.8820414","06111"
"4426376","105539","344","Mississippi State","SEC","Seattle","2022","9","1","9","Charles Cross","Offensive Tackle","77","307","10","3","92","Laurel","MS","USA","31.74096","-89.13382003619111","28067"
"4569618","105540","194","Ohio State","Big Ten","New York","2022","10","1","10","Garrett Wilson","Wide Receiver","72","183","6","1","93","Austin","TX","USA","30.2711286","-97.7436995","48453"
"4361370","105544","194","Ohio State","Big Ten","New Orleans","2022","11","1","11","Chris Olave","Wide Receiver","72","187","15","4","91","San Marcos","CA","USA","33.1433723","-117.1661449","06073"
"4426388","105553","333","Alabama","SEC","Detroit","2022","12","1","12","Jameson Williams","Wide Receiver","74","179","13","3","92","Saint Louis","MO","USA","38.6264178","-90.1998378","29510"
"4381558","105548","61","Georgia","SEC","Philadelphia","2022","13","1","13","Jordan Davis","Defensive Tackle","78","341","12","1","92","Charlotte","NC","USA","35.2272","-80.843083","37119"
"4575517","105536","87","Notre Dame","FBS Independents","Baltimore","2022","14","1","14","Kyle Hamilton","Safety","76","220","9","1","92","Atlanta","GA","USA","33.7490987","-84.3901849","13121"
"4426327","105577","245","Texas A&M","SEC","Houston","2022","15","1","15","Kenyon Green","Offensive Guard","76","323","26","1","89","Humble","TX","USA","29.9988312","-95.2621553","48201"
"4361409","105545","213","Penn State","Big Ten","Washington","2022","16","1","16","Jahan Dotson","Wide Receiver","71","178","25","6","89","Nazareth","PA","USA","40.7423309","-75.3112095","42095"
"4247347","105562","103","Boston College","ACC","Los Angeles","2022","17","1","17","Zion Johnson","Offensive Guard","75","312","28","2","88","Bowie","MD","USA","38.9429659","-76.731234","24033"
"4567156","105550","8","Arkansas","SEC","Tennessee","2022","18","1","18","Treylon Burks","Wide Receiver","74","225","24","5","89","Warren","AR","USA","33.6126086","-92.0645831","05011"
"4248627","105572","2460","Northern Iowa","MVFC","New Orleans","2022","19","1","19","Trevor Penning","Offensive Tackle","79","325","17","4","91","Clear Lake","IA","USA","43.1380915","-93.3792003","19033"
"4240703","105557","221","Pittsburgh","ACC","Pittsburgh","2022","20","1","20","Kenny Pickett","Quarterback","75","217","22","2","90","Oakhurst","NJ","USA","40.2610555","-74.02658164459623","34025"
"4426405","105627","264","Washington","Pac-12","Kansas City","2022","21","1","21","Trent McDuffie","Cornerback","71","193","16","3","91","Westminster","CA","USA","33.7578725","-117.9859054","06059"
"4379416","105890","61","Georgia","SEC","Green Bay","2022","22","1","22","Quay Walker","Inside Linebacker","76","241","31","3","88","Cordele","GA","USA","31.9635074","-83.7823938","13081"
"4567399","105542","57","Florida","SEC","Buffalo","2022","23","1","23","Kaiir Elam","Cornerback","74","191","32","5","88","Riviera Beach","FL","USA","26.7753405","-80.0580969","12099"
"4568652","106067","202","Tulsa","American Athletic","Dallas","2022","24","1","24","Tyler Smith","Offensive Tackle","77","324","33","5","88","Fort Worth","TX","USA","32.753177","-97.3327459","48439"
"4360499","105551","2294","Iowa","Big Ten","Baltimore","2022","25","1","25","Tyler Linderbaum","Center","74","296","29","1","88","Solon","IA","USA","41.8072344","-91.4940604","19103"
"4567962","105660","52","Florida State","ACC","New York","2022","26","1","26","Jermaine Johnson II","Defensive End","77","254","14","4","92","Eden Prairie","MN","USA","44.8546856","-93.470786","27053"
"4243256","105546","254","Utah","Pac-12","Jacksonville","2022","27","1","27","Devin Lloyd","Inside Linebacker","75","237","20","2","91","Chula Vista","CA","USA","32.6400541","-117.0841955","06073"
"4361791","105708","61","Georgia","SEC","Green Bay","2022","28","1","28","Devonte Wyatt","Defensive Tackle","75","304","23","2","90","Decatur","GA","USA","33.7737582","-84.296069","13089"
